Order ID,Order Date,Customer ID,Product ID,Product Name,Product Type,Quantity,Customer Name,Email,Country,Category,Unit Price,Profit,,
QEV-37451-860,05-Sep-2019,17670-51384-MA,A-L-0.2,Samsung Galaxy A55,Smartphone,2,Aloisia Allner,aallner0@lulu.com,United States,Smartphone,480.00 €,360.00 €,,
QEV-37451-860,05-Sep-2019,17670-51384-MA,B-M-0.5,Samsung Galaxy Watch 7,Wearable,1,Aloisia Allner,aallner0@lulu.com,United States,Wearable,300.00 €,100.00 €,,
FAA-43335-268,17-Jun-2021,21125-22134-PX,R-D-2.5,Samsung Odyssey G9,Monitor,2,Jami Redholes,jredholes2@tmall.com,United States,Monitor,"1,299.00 €",898.00 €,,
KAC-83089-793,15-Jul-2021,23806-46781-OU,L-L-1,AOC 24G2SPU,Monitor,1,Christoffer O' Shea,,Ireland,Monitor,189.00 €,64.00 €,,
KAC-83089-793,15-Jul-2021,23806-46781-OU,A-M-2.5,Huawei P60 Pro,Smartphone,1,Christoffer O' Shea,,Ireland,Smartphone,"1,000.00 €",350.00 €,,
CVP-18956-553,04-Aug-2021,86561-91660-RB,C-D-1,Logitech MX Keys S,Keyboard,3,Beryle Cottier,,United States,Keyboard,120.00 €,135.00 €,,
IPP-31994-879,21-Jan-2022,65223-29612-CB,L-M-0.2,Lenovo Legion Tower 5i,PC,2,Shaylynn Lobe,slobe6@nifty.com,United States,PC,"1,300.00 €",700.00 €,,
SNZ-65340-705,20-May-2022,21134-81676-FR,F-L-0.5,Corsair K100 RGB,Keyboard,2,Melvin Wharfe,,Ireland,Keyboard,220.00 €,150.00 €,,
EZT-46571-659,02-Jan-2019,03396-68805-ZC,R-M-0.5,Acer Aspire 7,Laptop,1,Guthrey Petracci,gpetracci8@livejournal.com,United States,Laptop,799.00 €,264.00 €,,
NWQ-70061-912,05-Sep-2019,61021-27840-ZN,E-M-1,"LG OLED C4 55""",TV,3,Rodger Raven,rraven9@ed.gov,United States,TV,"1,500.00 €","1,500.00 €",,
BKK-47233-845,08-Mar-2021,76239-90137-UQ,B-L-2.5,"Toshiba QA5D 43""",TV,3,Ferrell Ferber,fferbera@businesswire.com,United States,TV,300.00 €,300.00 €,,
VQR-01002-970,28-Oct-2020,49315-21985-BB,A-L-1,Apple iPhone 15 Pro,Smartphone,1,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,Smartphone,"1,229.00 €",429.00 €,,
SZW-48378-399,02-Jul-2022,34136-36674-OM,R-M-1,Microsoft Surface Laptop 6,Laptop,1,Rosaleen Scholar,rscholarc@nyu.edu,United States,Laptop,"1,399.00 €",419.00 €,,
ITA-87418-783,22-May-2020,39396-12890-PE,L-L-2.5,HP Envy 32 All-in-One,PC,1,Terence Vanyutin,tvanyutind@wix.com,United States,PC,"1,999.00 €",599.00 €,,
GNZ-46006-527,05-Apr-2022,95875-73336-RG,H-D-1,Elgato Stream Deck XL,Gaming Accessory,1,Patrice Trobe,ptrobee@wunderground.com,United States,Gaming Accessory,220.00 €,75.00 €,,
